experiment,seed,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,metrics_path
compgcn_baseline,42,0.785956299787673,0.6615988894844588,0.7761384621569041,0.7275047043479159,0.6493009574270563,runs_report/level1/compgcn_baseline/seed_42/metrics.json
compgcn_baseline,43,0.7852786603821886,0.6643862638291986,0.7762574556143413,0.7161069627905428,0.6509158840894613,runs_report/level1/compgcn_baseline/seed_43/metrics.json
compgcn_baseline,44,0.7860165344014938,0.6649660038090045,0.7767294022995777,0.7225999727753334,0.6502571711736005,runs_report/level1/compgcn_baseline/seed_44/metrics.json
rgat_baseline,42,0.7832156248588251,0.662382557908831,0.7739798233462768,0.7188941748720047,0.64848201814216,runs_report/level1/rgat_baseline/seed_42/metrics.json
rgat_baseline,43,0.7867845257277094,0.6641934982355127,0.7770325265040073,0.7347223721990866,0.65053792517808,runs_report/level1/rgat_baseline/seed_43/metrics.json
rgat_baseline,44,0.7855195988374719,0.6677604444068905,0.7768525206603374,0.7235260350294703,0.6537299287596005,runs_report/level1/rgat_baseline/seed_44/metrics.json
rgcn_baseline,42,0.7862574728567772,0.6614933375867904,0.7762613063233442,0.7257688851295762,0.6493703476165491,runs_report/level1/rgcn_baseline/seed_42/metrics.json
rgcn_baseline,43,0.7855045401840167,0.6654549734552557,0.7764685706572914,0.7200326158294182,0.6502399543686674,runs_report/level1/rgcn_baseline/seed_43/metrics.json
rgcn_baseline,44,0.7849624286596293,0.6662029857097609,0.7761389822747792,0.7193458389200267,0.6521084240499798,runs_report/level1/rgcn_baseline/seed_44/metrics.json
