experiment,seeds_completed,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
rgat_baseline,3,"42,43,44",0.7851732498080022,0.0018094837912072423,0.6647788335170781,0.0027363075193381626,0.7759549568368739,0.0017128820027069523,0.7257141940335206,0.008137812207621635,0.6509166240266134,0.002644371584246722
rgcn_baseline,3,"42,43,44",0.7855748139001411,0.0006503757871608074,0.6643837655839356,0.002530970384700968,0.7762896197518049,0.00016660841258816435,0.7217157799596737,0.0035268487023879993,0.6505729086783988,0.0013990745398668627
compgcn_baseline,3,"42,43,44",0.7857504981904518,0.0004097319125421885,0.663650385707554,0.001800139487949952,0.7763751066902743,0.0003125442285611986,0.7220705466379307,0.005717284948154296,0.6501580042300393,0.0008120176064951476
