experiment,seeds_completed,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
compgcn_baseline,3,"42,43,44",0.672614924354225,0.0005659281327014357,0.4661619011768273,0.0027861402609047907,0.6579306959825393,0.0017189561069714697,0.5359477413611448,0.005359436812540188,0.44425520716287364,0.0033502800172437066
rgcn_baseline,3,"42,43,44",0.67374434037085,0.0005956036200020318,0.4598334281624815,0.004621673094875889,0.6563810061710877,0.001669345388190123,0.5380565394331203,0.0031085725579133223,0.43759546690776174,0.00448740707395892
rgat_baseline,3,"42,43,44",0.6714353120701945,0.001362336314913289,0.45309227604173274,0.0033500517612696634,0.6536645327985512,0.0010182833998966358,0.5325654510262375,0.006430418923178639,0.43038373017267884,0.0030316056458211654
