experiment,seed,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,metrics_path
compgcn_baseline,42,0.6727705327831822,0.46310481137662174,0.6562662649546482,0.5393790244370943,0.4408117222893296,runs_report/level2/compgcn_baseline/seed_42/metrics.json
compgcn_baseline,43,0.6719874710116556,0.4685583337531555,0.6596994274401503,0.5386922887527039,0.4475037715074651,runs_report/level2/compgcn_baseline/seed_43/metrics.json
compgcn_baseline,44,0.6730867692678373,0.46682255840070475,0.6578263955528194,0.529771910893636,0.4444501276918262,runs_report/level2/compgcn_baseline/seed_44/metrics.json
rgat_baseline,42,0.6717615878083306,0.44941104587506076,0.6525037082850125,0.5381777671608601,0.42745382861377296,runs_report/level2/rgat_baseline/seed_42/metrics.json
rgat_baseline,43,0.6699394633015089,0.45596209234357465,0.6544070126926844,0.5255489820165652,0.43350771393345416,runs_report/level2/rgat_baseline/seed_43/metrics.json
rgat_baseline,44,0.6726048851007439,0.4539036899065628,0.6540828774179568,0.5339696039012874,0.43018964797080944,runs_report/level2/rgat_baseline/seed_44/metrics.json
rgcn_baseline,42,0.6730566515073939,0.4554792183422905,0.6550864506952445,0.5409817402538227,0.43287019679791866,runs_report/level2/rgcn_baseline/seed_42/metrics.json
rgcn_baseline,43,0.6740957142426889,0.46468270537750306,0.6582651382314924,0.5347923776258877,0.44179948433448557,runs_report/level2/rgcn_baseline/seed_43/metrics.json
rgcn_baseline,44,0.6740806553624672,0.45933836076765094,0.6557914295865264,0.5383955004196505,0.438116719590881,runs_report/level2/rgcn_baseline/seed_44/metrics.json
